Model,Day,NSE,KGE,Pearson
RandomForestRegressor,0,0.06356726006423974,-0.10635850361866317,0.27682875141592433
RandomForestRegressor,1,0.3371740040403991,0.3218872095413129,0.6974956690035895
RandomForestRegressor,2,-0.14636916408199907,-0.4885785481192131,-0.16819912704026654
RandomForestRegressor,3,-0.2417965260533712,-0.38400625905385755,-0.2085595287161074
RandomForestRegressor,4,-3.2910573242604296e+26,,
RandomForestRegressor,5,0.34202750851235086,0.6936003782410032,0.6948116935586425
RandomForestRegressor,6,-131.30694128191757,-4.839034234206484,0.28076238530614944
RandomForestRegressor,7,-12.103865658602892,-1.8880509604384903,0.747188084598422
RandomForestRegressor,8,-0.5227842468854924,0.3494870764253447,0.35875818299083956
RandomForestRegressor,9,0.07910667485515133,0.13578417376829333,0.3213540809912132
RandomForestRegressor,10,-0.1122307468809709,-0.10716850237697684,0.11515536915222836
RandomForestRegressor,11,0.17745565593470158,0.15442192177763914,0.42336346124531293
RandomForestRegressor,12,0.2925611553063546,0.3070298105973751,0.8506547067807381
RandomForestRegressor,13,0.1686505319153302,0.1014302534331839,0.4657265724566224
RandomForestRegressor,14,-11.34351156016668,-1.2106007431726922,-0.4671950802332412
RandomForestRegressor,15,0.3475331979895937,0.5718359533283097,0.7470910320102567
RandomForestRegressor,16,-0.48495107614951594,-0.5276156660503104,-0.3820285527428366
RandomForestRegressor,17,-0.5360870784128013,-0.5136771812870038,-0.3222915275221463
RandomForestRegressor,18,-63.691637277233426,-6.13961932334411,0.613081222875548
RandomForestRegressor,19,-258.4001024193777,-11.12017995720809,0.5745594000844615
RandomForestRegressor,20,0.7825629151006925,0.5615413331971413,0.9812576850078099
RandomForestRegressor,21,-0.9577797950317115,-0.3218398380276264,-0.27268537444714896
RandomForestRegressor,22,-77.48135139872929,-1.3019982187755543,0.2320029287550747
RandomForestRegressor,23,0.5521503524106613,0.4543115708317591,0.8348159665693355
RandomForestRegressor,24,0.4006376961813979,0.2900058767964073,0.8935015473869644
RandomForestRegressor,25,-87.0487121807023,-2.87505629480606,-0.7330478952065698
RandomForestRegressor,26,-1577.612852699672,-18.38089155658342,-0.054896322516925056
RandomForestRegressor,27,-137.4591002524607,0.12965912053204254,0.20828853619345805
RandomForestRegressor,28,-656.9773535293082,-16.765404294980772,-0.4180776834527255
RandomForestRegressor,29,0.3333337698736034,0.24755717617888362,0.8052484121215113
RandomForestRegressor,30,0.6006685958537048,0.5297823672151378,0.8285271942638525
RandomForestRegressor,31,-52.51182276958448,-0.4613845603166531,0.23341705544369684
RandomForestRegressor,32,0.2655597706084224,0.2192500414026961,0.5520437914222208
RandomForestRegressor,33,0.33931054464414734,0.5059218407995131,0.6385575302575137
RandomForestRegressor,34,-15.219950630400689,-1.068689594782028,-0.40623781643723617
RandomForestRegressor,35,-4.832317259834941,-0.4935670120354465,0.497875303223861
RandomForestRegressor,36,-408.3752704559405,-14.626368654752069,-0.49976706527493475
RandomForestRegressor,37,0.3737527504588709,0.2887607331268741,0.7088820569471581
RandomForestRegressor,38,-3.476054000605606e+27,,
RandomForestRegressor,39,-11506.959131051499,-35.01992537852834,-0.23232405802519632
RandomForestRegressor,40,-488.3058559814639,-15.345137171836466,0.005967449592946483
RandomForestRegressor,41,-34.27191046540012,-3.7797703257511843,-0.029780081715869544
RandomForestRegressor,42,-895.9399443427892,-18.967374753084627,-0.29638295160343076
RandomForestRegressor,43,-0.9510191093636668,-0.049402726241992934,-0.044483027825624244
RandomForestRegressor,44,-332.849837348193,-10.61618451100881,0.3003601229842974
RandomForestRegressor,45,0.19138796632312038,0.16420389724413398,0.45473744418673684
RandomForestRegressor,46,-0.26366264670592066,-0.4270992339304136,-0.25391117916544764
RandomForestRegressor,47,0.18832785754275294,0.2550900443758837,0.43964158938371717
RandomForestRegressor,48,-0.23780137187087913,-0.5677560777880406,-0.37186436568765213
RandomForestRegressor,49,-0.42158222544226165,-0.2656829392615354,-0.16314396132176426
