Timestamp,bp_discharge,bp_discharge+1,bp_discharge+2,bp_discharge+3,bp_discharge+4,bp_discharge+5,bp_discharge+6,bp_discharge+7,bp_discharge+8,bp_discharge+9,bp_discharge+10,bp_discharge+11,bp_discharge+12,bp_discharge+13,bp_discharge+14,bp_discharge+15,bp_discharge+16,bp_discharge+17,bp_discharge+18,bp_discharge+19,bp_discharge+20,bp_discharge+21,bp_discharge+22,bp_discharge+23,bp_discharge+24,bp_discharge+25,bp_discharge+26,bp_discharge+27,bp_discharge+28,bp_discharge+29,bp_discharge+30,bp_discharge+31,bp_discharge+32,bp_discharge+33,bp_discharge+34,bp_discharge+35,bp_discharge+36,bp_discharge+37,bp_discharge+38,bp_discharge+39
8/20/2014,0.047,0.049,0.048,0.047,0.13,0.114,0.089,0.111,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055
8/21/2014,0.049,0.048,0.047,0.13,0.114,0.089,0.111,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056
8/22/2014,0.048,0.047,0.13,0.114,0.089,0.111,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056,0.057
8/23/2014,0.047,0.13,0.114,0.089,0.111,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056,0.057,0.051
8/24/2014,0.13,0.114,0.089,0.111,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056,0.057,0.051,0.043
8/25/2014,0.114,0.089,0.111,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056,0.057,0.051,0.043,0.197
8/26/2014,0.089,0.111,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056,0.057,0.051,0.043,0.197,0.21
8/27/2014,0.111,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056,0.057,0.051,0.043,0.197,0.21,0.307
8/28/2014,0.102,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056,0.057,0.051,0.043,0.197,0.21,0.307,0.509
8/29/2014,0.08,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056,0.057,0.051,0.043,0.197,0.21,0.307,0.509,0.206
8/30/2014,0.067,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056,0.057,0.051,0.043,0.197,0.21,0.307,0.509,0.206,0.67
8/31/2014,0.065,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056,0.057,0.051,0.043,0.197,0.21,0.307,0.509,0.206,0.67,0.411
9/1/2014,0.061,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056,0.057,0.051,0.043,0.197,0.21,0.307,0.509,0.206,0.67,0.411,0.265
9/2/2014,0.054,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056,0.057,0.051,0.043,0.197,0.21,0.307,0.509,0.206,0.67,0.411,0.265,0.201
9/3/2014,0.052,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056,0.057,0.051,0.043,0.197,0.21,0.307,0.509,0.206,0.67,0.411,0.265,0.201,0.167
9/4/2014,0.05,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056,0.057,0.051,0.043,0.197,0.21,0.307,0.509,0.206,0.67,0.411,0.265,0.201,0.167,0.147
9/5/2014,0.049,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056,0.057,0.051,0.043,0.197,0.21,0.307,0.509,0.206,0.67,0.411,0.265,0.201,0.167,0.147,0.135
9/6/2014,0.049,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056,0.057,0.051,0.043,0.197,0.21,0.307,0.509,0.206,0.67,0.411,0.265,0.201,0.167,0.147,0.135,1.054
9/7/2014,0.047,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056,0.057,0.051,0.043,0.197,0.21,0.307,0.509,0.206,0.67,0.411,0.265,0.201,0.167,0.147,0.135,1.054,0.604
9/8/2014,0.044,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056,0.057,0.051,0.043,0.197,0.21,0.307,0.509,0.206,0.67,0.411,0.265,0.201,0.167,0.147,0.135,1.054,0.604,0.795
9/9/2014,0.041,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056,0.057,0.051,0.043,0.197,0.21,0.307,0.509,0.206,0.67,0.411,0.265,0.201,0.167,0.147,0.135,1.054,0.604,0.795,0.852
9/10/2014,0.041,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056,0.057,0.051,0.043,0.197,0.21,0.307,0.509,0.206,0.67,0.411,0.265,0.201,0.167,0.147,0.135,1.054,0.604,0.795,0.852,0.533
9/11/2014,0.041,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056,0.057,0.051,0.043,0.197,0.21,0.307,0.509,0.206,0.67,0.411,0.265,0.201,0.167,0.147,0.135,1.054,0.604,0.795,0.852,0.533,0.446
9/12/2014,0.042,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056,0.057,0.051,0.043,0.197,0.21,0.307,0.509,0.206,0.67,0.411,0.265,0.201,0.167,0.147,0.135,1.054,0.604,0.795,0.852,0.533,0.446,0.434
9/13/2014,0.045,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056,0.057,0.051,0.043,0.197,0.21,0.307,0.509,0.206,0.67,0.411,0.265,0.201,0.167,0.147,0.135,1.054,0.604,0.795,0.852,0.533,0.446,0.434,0.375
9/14/2014,0.044,0.043,0.041,0.041,0.039,0.093,0.167,0.085,0.057,0.057,0.052,0.046,0.042,0.044,0.055,0.056,0.057,0.051,0.043,0.197,0.21,0.307,0.509,0.206,0.67,0.411,0.265,0.201,0.167,0.147,0.135,1.054,0.604,0.795,0.852,0.533,0.446,0.434,0.375,0.355
