Timestamp,rain,Tmax,Tmin,wdsp,Rhmean,solar_rad,bp_discharge
2/22/2017,0.9,13.1,9.4,14.8,93.20833333,328.8592723,0.887
2/23/2017,3.6,9.7,3.5,20.3,78.04166667,278.8848633,0.853
2/24/2017,0.0,8.2,1.9,10.0,89.0,285.7000605,0.757
2/25/2017,3.2,12.1,6.3,15.5,95.33333333,358.855191,0.748
2/26/2017,5.8,11.0,2.2,17.2,89.75,341.0061572,0.879
2/27/2017,6.8,5.6,-0.7,7.9,90.20833333,333.6893157,0.887
2/28/2017,1.0,8.9,0.3,14.6,79.16666667,255.9160421,0.705
3/1/2017,5.9,7.0,1.3,10.0,82.95833333,280.7155325,0.681
3/2/2017,3.2,9.4,0.4,10.5,80.91666667,288.1725883,0.72
3/3/2017,32.0,7.6,3.6,6.9,96.66666667,404.966564,3.405
3/4/2017,1.9,8.3,3.4,13.7,85.33333333,302.2867702,1.602
3/5/2017,9.0,8.1,1.9,13.9,83.04166667,310.6101832,1.9
3/6/2017,2.2,8.6,1.8,11.5,83.16666667,295.033562,1.596
3/7/2017,5.9,11.7,3.1,9.8,95.25,361.5007745,1.472
3/8/2017,1.7,11.2,7.7,5.8,93.79166667,351.7111658,1.343
3/9/2017,1.4,12.4,6.6,6.5,90.33333333,338.6720521,1.177
3/10/2017,0.8,9.9,8.8,10.4,98.25,367.0048134,1.098
3/11/2017,4.1,14.7,7.6,5.6,90.54166667,342.609044,1.048
3/12/2017,1.9,11.0,6.0,11.0,79.04166667,298.1138231,1.015
3/13/2017,0.0,16.3,7.2,6.6,86.33333333,322.7633183,0.857
3/14/2017,0.0,16.3,8.2,7.5,80.33333333,283.9160028,0.776
3/15/2017,1.0,12.3,4.9,6.5,93.70833333,350.286039,0.717
3/16/2017,0.7,10.6,2.3,9.7,85.5,319.9813878,0.683
3/17/2017,0.0,11.1,2.3,13.5,87.29166667,280.5011234,0.631
3/18/2017,0.0,14.6,9.8,15.5,88.66666667,294.4019485,0.592
3/19/2017,0.2,13.8,9.6,15.0,92.5,325.8070516,0.558
3/20/2017,4.2,10.6,1.0,11.3,83.04166667,287.8949572,0.551
3/21/2017,7.0,5.8,-0.4,8.6,90.58333333,316.1129576,0.528
3/22/2017,7.1,7.0,0.0,15.4,84.20833333,312.6903622,0.771
3/23/2017,0.0,10.5,3.6,15.8,76.54166667,192.6231991,0.577
3/24/2017,0.0,11.1,3.1,9.8,78.20833333,223.1404646,0.488
3/25/2017,0.0,15.0,3.7,8.2,59.66666667,142.3252916,0.452
3/26/2017,0.0,13.0,7.0,15.2,53.375,132.5154289,0.43
3/27/2017,0.0,12.7,6.5,12.5,86.54166667,304.9076056,0.407
3/28/2017,4.8,12.1,7.9,12.0,96.375,364.9697743,0.403
3/29/2017,7.2,11.4,9.9,13.6,99.0,378.0099318,0.459
3/30/2017,11.0,11.2,9.5,11.8,99.0,383.0395689,0.508
3/31/2017,1.8,12.1,5.9,12.0,93.70833333,351.3865171,0.923
4/1/2017,0.6,12.0,4.8,11.7,81.91666667,298.2788694,0.548
4/2/2017,0.1,11.5,4.2,7.6,84.58333333,280.7735787,0.482
4/3/2017,6.7,11.6,7.8,14.7,94.33333333,359.8152684,0.551
4/4/2017,0.0,11.1,6.5,11.2,69.33333333,181.1648951,0.505
4/5/2017,0.0,10.1,6.9,5.9,69.08333333,116.9770362,0.463
4/6/2017,0.0,10.3,4.9,2.5,72.04166667,181.893159,0.446
4/7/2017,0.0,11.2,4.1,4.8,81.16666667,238.7062186,0.431
4/8/2017,0.0,12.5,6.4,8.2,90.66666667,338.4160469,0.419
4/9/2017,0.3,15.2,6.7,7.5,81.0,303.8070987,0.402
4/10/2017,0.0,12.4,4.8,9.2,70.375,183.6315123,0.38
4/11/2017,0.0,13.2,4.5,6.8,74.16666667,193.0864398,0.368
4/12/2017,0.0,13.6,5.1,9.2,79.08333333,247.6783629,0.362
4/13/2017,0.0,13.6,6.7,5.3,78.0,252.1284719,0.35
4/14/2017,4.1,13.8,7.6,8.3,90.33333333,322.4486015,0.348
4/15/2017,0.1,11.8,5.7,8.6,73.41666667,230.7259848,0.334
4/16/2017,0.0,13.2,4.9,8.9,79.75,249.6826552,0.32
4/17/2017,0.0,11.8,6.5,7.0,75.45833333,259.3658135,0.307
4/18/2017,0.0,13.1,6.1,5.0,80.25,267.0307801,0.293
4/19/2017,0.0,14.4,7.1,4.5,79.45833333,272.6638141,0.285
4/20/2017,0.0,14.3,8.2,5.2,78.45833333,217.5351363,0.28
4/21/2017,0.0,16.0,6.0,5.4,73.875,232.0772538,0.27
4/22/2017,0.0,13.2,8.5,4.4,73.875,186.7521499,0.262
4/23/2017,0.0,12.2,8.9,3.8,80.75,277.1630961,0.256
4/24/2017,0.1,13.5,3.0,9.9,71.33333333,198.1204123,0.247
4/25/2017,0.7,11.2,1.2,13.4,68.91666667,186.0180551,0.234
4/26/2017,0.0,9.1,0.4,9.0,67.83333333,182.7115344,0.226
4/27/2017,0.0,11.6,3.8,8.6,72.375,194.6721453,0.217
4/28/2017,0.0,10.0,6.1,6.3,75.16666667,195.7935928,0.212
4/29/2017,3.8,10.7,6.6,16.4,86.41666667,282.0578591,0.221
4/30/2017,8.1,11.3,7.0,12.8,86.45833333,313.4356678,0.318
5/1/2017,0.0,16.5,5.8,8.0,69.95833333,248.4494041,0.22
5/2/2017,0.0,15.2,7.2,6.4,79.79166667,282.1031601,0.196
5/3/2017,0.1,13.8,6.1,10.4,69.08333333,224.4489641,0.185
5/4/2017,0.0,14.3,6.9,12.6,69.20833333,186.7981,0.178
5/5/2017,0.0,13.4,8.2,17.7,73.125,179.1004292,0.172
5/6/2017,0.0,11.9,8.8,12.0,74.375,176.3185101,0.171
5/7/2017,0.0,15.6,8.7,4.1,70.58333333,173.1907565,0.16
5/8/2017,0.0,16.1,7.2,8.3,72.66666667,172.2646252,0.154
5/9/2017,0.0,13.6,4.5,5.6,78.625,224.5594533,0.148
5/10/2017,0.0,14.8,4.8,4.3,77.66666667,282.9002959,0.147
5/11/2017,0.0,16.1,4.8,6.2,79.04166667,255.2624057,0.147
5/12/2017,0.0,14.6,8.1,6.5,76.83333333,234.0331524,0.143
5/13/2017,9.6,12.9,6.4,9.0,92.66666667,357.3527731,0.165
5/14/2017,1.8,13.6,4.6,11.5,87.04166667,299.3685397,0.147
5/15/2017,27.4,13.2,10.8,16.4,98.25,406.3569579,0.382
5/16/2017,1.0,16.0,6.8,12.3,80.41666667,302.51913,0.276
5/17/2017,1.4,15.4,5.0,7.8,80.375,285.2410411,0.18
5/18/2017,2.1,12.2,4.7,5.5,84.58333333,300.3294997,0.163
5/19/2017,2.7,13.6,5.9,5.5,84.20833333,257.8536407,0.178
5/20/2017,1.4,14.4,7.3,7.7,81.58333333,289.6361056,0.187
5/21/2017,0.1,14.1,10.2,12.6,91.91666667,324.0205912,0.154
5/22/2017,0.0,16.6,10.9,9.3,87.54166667,327.8612748,0.137
5/23/2017,0.0,20.7,12.5,6.0,88.25,330.678746,0.123
5/24/2017,0.0,15.0,11.7,4.8,95.29166667,356.0713629,0.108
5/25/2017,0.0,17.1,11.6,9.8,91.875,343.6782876,0.104
5/26/2017,2.7,16.4,12.6,8.3,93.70833333,353.6500959,0.103
5/27/2017,7.6,17.4,10.0,11.2,83.41666667,321.0157591,0.201
5/28/2017,1.5,16.1,9.3,7.0,87.16666667,300.09545,0.122
5/29/2017,0.0,15.8,10.5,4.4,90.45833333,309.6507914,0.109
5/30/2017,1.0,17.0,10.3,7.1,83.25,304.2225879,0.097
5/31/2017,0.2,15.8,9.9,7.9,85.875,312.5965705,0.088
6/1/2017,9.1,13.4,10.3,9.1,94.16666667,362.9821011,0.114
6/2/2017,0.1,16.5,8.9,7.5,80.41666667,301.9223843,0.1
6/3/2017,1.3,15.5,7.8,9.6,80.75,286.7906441,0.095
6/4/2017,8.6,15.6,6.0,11.0,81.08333333,304.0182143,0.11
6/5/2017,16.1,12.6,8.4,12.3,92.125,364.5127255,0.434
6/6/2017,0.7,14.5,7.6,14.8,75.91666667,231.9354426,0.269
6/7/2017,7.4,14.7,6.6,8.9,93.20833333,356.7513688,0.208
6/8/2017,10.8,16.6,8.7,11.8,91.375,354.5510272,0.632
6/9/2017,17.9,15.0,7.5,10.4,92.75,369.4285319,0.355
6/10/2017,6.9,15.7,12.4,17.0,93.91666667,359.6175626,1.27
6/11/2017,2.4,14.6,10.9,15.2,88.08333333,304.3714539,0.417
6/12/2017,0.2,16.2,10.6,9.4,85.75,312.2951395,0.329
6/13/2017,0.0,15.3,11.4,8.2,92.41666667,345.6743516,0.294
6/14/2017,1.1,15.8,11.3,10.5,91.45833333,343.4385781,0.271
6/15/2017,0.0,17.8,9.7,10.8,80.41666667,301.9641312,0.251
6/16/2017,0.0,21.9,11.2,8.0,79.45833333,273.3547224,0.226
6/17/2017,0.0,20.8,11.1,7.1,83.75,305.1399762,0.21
6/18/2017,0.0,22.2,11.8,3.7,71.04166667,224.3402938,0.202
6/19/2017,0.0,24.3,13.8,4.6,71.20833333,175.4363287,0.2
6/20/2017,0.0,21.6,14.7,8.7,77.5,244.3358802,0.199
6/21/2017,0.7,23.6,14.7,8.0,83.66666667,288.5537117,0.192
